Player Full Name,PlayersID,Birth Date,Year Start,Year End,POS,Height (ft),Height (in),Height (cm),HeightwithoutShoes,Wingspan (cm),Standing Reach (cm),Hand Length (inches),Hand Lenght(cm),Hand Width (inches),Hand Width (cm),Weight (lb),Weight (kg),Body Fat (%),College,LaneAgilityTime_sec,ShuttleRun_sec,3quartersprint_sec,StandingVerticalLeap_inches,MaxVerticalLeap_inches,MaxBenchPress_reps,StandingVerticalLeap_cm,MaxVerticalLeap_cm
Michael Jordan,1,17/02/1963,1985,2003,G-F,6,6,198.12,195.12,,,,,,,195,88.45051215,,University of North Carolina,,,,,,,,
Eric Piatkowski,15,30/09/1970,1995,2008,G-F,6,7,200.66,197.66,,,,,,,215,97.52235955,,University of Nebraska,,,,,,,,
A.C. Green,20,04/10/1963,1986,2001,F-C,6,9,205.74,202.74,,,,,,,220,99.7903214,,Oregon State University,,,,,,,,
A.J. Wynder,21,11/09/1964,1991,1991,G,6,2,187.96,184.96,,,,,,,180,81.6466266,,Fairfield University,,,,,,,,
Aaron Swinson,22,09/01/1971,1995,1995,F,6,5,195.58,192.58,,,,,,,230,104.3262451,,Auburn University,,,,,,,,
Acie Earl,23,23/06/1970,1994,1997,F-C,6,10,208.28,205.28,,,,,,,240,108.8621688,,University of Iowa,,,,,,,,
Adam Harrington,25,05/07/1980,2003,2003,G,6,5,195.58,192.58,,,,,,,200,90.718474,,Auburn University,,,,,,,,
Adam Keefe,26,22/02/1970,1993,2001,F,6,9,205.74,202.74,,,,,,,230,104.3262451,,Stanford University,,,,,,,,
Adonis Jordan,27,21/08/1970,1994,1999,G,5,11,180.34,177.34,,,,,,,170,77.1107029,,University of Kansas,,,,,,,,
Adrian Caldwell,28,04/07/1966,1990,1998,F-C,6,8,203.2,200.2,,,,,,,265,120.2019781,,Lamar University,,,,,,,,
Alaa Abdelnaby,29,30/08/1968,1991,1995,F-C,6,10,208.28,205.28,,,,,,,240,108.8621688,,Duke University,,,,,,,,
Alan Ogg,30,05/07/1967,1991,1993,C,7,2,218.44,215.44,,,,,,,240,108.8621688,,University of Alabama at Birmingham,,,,,,,,
Alec Kessler,31,13/01/1967,1991,1994,F-C,6,11,210.82,207.82,,,,,,,230,104.3262451,,University of Georgia,,,,,,,,
Alex Blackwell,33,27/06/1970,1993,1993,F,6,6,198.12,195.12,,,,,,,250,113.3980925,,Monmouth University,,,,,,,,
Alex English,34,05/01/1954,1977,1991,F,6,7,200.66,197.66,,,,,,,190,86.1825503,,University of South Carolina,,,,,,,,
Alex Stivrins,35,29/11/1962,1986,1993,F,6,8,203.2,200.2,,,,,,,220,99.7903214,,University of Colorado,,,,,,,,
Alexander Volkov,36,28/03/1964,1990,1992,C,6,10,208.28,205.28,,,,,,,218,98.88313666,,,,,,,,,,
Alton Lister,37,01/10/1958,1982,1998,C-F,7,0,213.36,210.36,,,,,,,240,108.8621688,,Arizona State University,,,,,,,,
Alvin Jones,38,09/09/1978,2002,2002,C,6,11,210.82,207.82,,,,,,,265,120.2019781,,Georgia Institute of Technology,,,,,,,,
Alvin Robertson,39,22/07/1962,1985,1996,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,University of Arkansas,,,,,,,,
Andrae Patterson,40,12/11/1975,1999,2000,F,6,9,205.74,202.74,,,,,,,238,107.9549841,,Indiana University,,,,,,,,
Andre Spencer,41,20/07/1964,1993,1994,F,6,6,198.12,195.12,,,,,,,210,95.2543977,,Northern Arizona University,,,,,,,,
Monty Williams,42,08/10/1971,1995,2003,F,6,8,203.2,200.2,,,,,,,225,102.0582833,,University of Notre Dame,,,,,,,,
Chris Whitney,43,05/10/1971,1994,2004,G,6,0,182.88,179.88,,,,,,,168,76.20351816,,Clemson University,,,,,,,,
Andre Turner,44,13/12/1964,1987,1992,G,5,11,180.34,177.34,,,,,,,160,72.5747792,,University of Memphis,,,,,,,,
