PLAYER,salary,Season,PlayersID,player_name,PlayersID (#1),team,year
Zydrunas Ilgauskas,11541074,2009-10,980,Zydrunas Ilgauskas,980,CLE,2009-10
Zydrunas Ilgauskas,10841615,2008-09,980,Zydrunas Ilgauskas,980,CLE,2008-09
Zydrunas Ilgauskas,10142156,2007-08,980,Zydrunas Ilgauskas,980,CLE,2007-08
Zydrunas Ilgauskas,9442697,2006-07,980,Zydrunas Ilgauskas,980,CLE,2006-07
Zydrunas Ilgauskas,8740000,2005-06,980,Zydrunas Ilgauskas,980,CLE,2005-06
Zydrunas Ilgauskas,14625000,2004-05,980,Zydrunas Ilgauskas,980,CLE,2004-05
Zydrunas Ilgauskas,13500000,2003-04,980,Zydrunas Ilgauskas,980,CLE,2003-04
Zydrunas Ilgauskas,12375000,2002-03,980,Zydrunas Ilgauskas,980,CLE,2002-03
Zydrunas Ilgauskas,11250000,2001-02,980,Zydrunas Ilgauskas,980,CLE,2001-02
Zydrunas Ilgauskas,10130000,2000-01,980,Zydrunas Ilgauskas,980,CLE,2000-01
Zydrunas Ilgauskas,828000,1997-98,980,Zydrunas Ilgauskas,980,CLE,1997-98
Zoran Planinic,1127280,2005-06,2565,Zoran Planinic,2565,NJN,2005-06
Zoran Planinic,1053720,2004-05,2565,Zoran Planinic,2565,NJN,2004-05
Zoran Planinic,980280,2003-04,2565,Zoran Planinic,2565,NJN,2003-04
Zoran Dragic,1962103,2014-15,204054,Zoran Dragic,204054,MIA,2014-15
Zoran Dragic,1962103,2014-15,204054,Zoran Dragic,204054,MIA,2014-15
Zoran Dragic,1962103,2014-15,204054,Zoran Dragic,204054,MIA,2014-15
Zion Williamson,9757440,2019-20,1629627,Zion Williamson,1629627,NOP,2019-20
Zhou Qi,815615,2017-18,1627753,Zhou Qi,1627753,HOU,2017-18
Zhaire Smith,3058800,2019-20,1629015,Zhaire Smith,1629015,PHI,2019-20
Zhaire Smith,2611800,2018-19,1629015,Zhaire Smith,1629015,PHI,2018-19
Zendon Hamilton,329138,2005-06,1985,Zendon Hamilton,1985,PHI,2005-06
Zendon Hamilton,329138,2005-06,1985,Zendon Hamilton,1985,PHI,2005-06
Zendon Hamilton,329138,2005-06,1985,Zendon Hamilton,1985,PHI,2005-06
Zendon Hamilton,807546,2004-05,1985,Zendon Hamilton,1985,MIL,2004-05
Zendon Hamilton,465850,2001-02,1985,Zendon Hamilton,1985,DEN,2001-02
Zendon Hamilton,316969,2000-01,1985,Zendon Hamilton,1985,LAC,2000-01
Zeljko Rebraca,3000000,2005-06,1442,Zeljko Rebraca,1442,LAC,2005-06
Zeljko Rebraca,2500000,2004-05,1442,Zeljko Rebraca,1442,LAC,2004-05
Zeljko Rebraca,4200000,2003-04,1442,Zeljko Rebraca,1442,ATL,2003-04
Zeljko Rebraca,4200000,2003-04,1442,Zeljko Rebraca,1442,ATL,2003-04
Zeljko Rebraca,4200000,2003-04,1442,Zeljko Rebraca,1442,ATL,2003-04
Zeljko Rebraca,3850000,2002-03,1442,Zeljko Rebraca,1442,DET,2002-03
Zeljko Rebraca,3500000,2001-02,1442,Zeljko Rebraca,1442,DET,2001-02
Zaza Pachulia,2393887,2018-19,2585,Zaza Pachulia,2585,DET,2018-19
Zaza Pachulia,3477600,2017-18,2585,Zaza Pachulia,2585,GSW,2017-18
Zaza Pachulia,2898000,2016-17,2585,Zaza Pachulia,2585,GSW,2016-17
Zaza Pachulia,5200000,2015-16,2585,Zaza Pachulia,2585,DAL,2015-16
Zaza Pachulia,5200000,2014-15,2585,Zaza Pachulia,2585,MIL,2014-15
Zaza Pachulia,5200000,2013-14,2585,Zaza Pachulia,2585,MIL,2013-14
Zaza Pachulia,5248750,2012-13,2585,Zaza Pachulia,2585,ATL,2012-13
Zaza Pachulia,4750000,2011-12,2585,Zaza Pachulia,2585,ATL,2011-12
Zaza Pachulia,4251250,2010-11,2585,Zaza Pachulia,2585,ATL,2010-11
Zaza Pachulia,4750000,2009-10,2585,Zaza Pachulia,2585,ATL,2009-10
Zaza Pachulia,4000000,2008-09,2585,Zaza Pachulia,2585,ATL,2008-09
Zaza Pachulia,4000000,2007-08,2585,Zaza Pachulia,2585,ATL,2007-08
Zaza Pachulia,4000000,2006-07,2585,Zaza Pachulia,2585,ATL,2006-07
Zaza Pachulia,4000000,2005-06,2585,Zaza Pachulia,2585,ATL,2005-06
Zaza Pachulia,620046,2004-05,2585,Zaza Pachulia,2585,MIL,2004-05
Zaza Pachulia,366931,2003-04,2585,Zaza Pachulia,2585,ORL,2003-04
Zarko Cabarkapa,1404360,2005-06,2560,Zarko Cabarkapa,2560,GSW,2005-06
Zarko Cabarkapa,1312800,2004-05,2560,Zarko Cabarkapa,2560,GSW,2004-05
Zarko Cabarkapa,1312800,2004-05,2560,Zarko Cabarkapa,2560,GSW,2004-05
Zarko Cabarkapa,1312800,2004-05,2560,Zarko Cabarkapa,2560,GSW,2004-05
Zarko Cabarkapa,1221240,2003-04,2560,Zarko Cabarkapa,2560,PHX,2003-04
Zan Tabak,1200000,2000-01,6231,Zan Tabak,6231,IND,2000-01
Zan Tabak,950000,1997-98,6231,Zan Tabak,6231,BOS,1997-98
Zan Tabak,950000,1997-98,6231,Zan Tabak,6231,BOS,1997-98
Zan Tabak,950000,1997-98,6231,Zan Tabak,6231,BOS,1997-98
Zan Tabak,800000,1996-97,6231,Zan Tabak,6231,TOR,1996-97
Zach Randolph,12307692,2017-18,2216,Zach Randolph,2216,SAC,2017-18
Zach Randolph,10361445,2016-17,2216,Zach Randolph,2216,MEM,2016-17
Zach Randolph,9638555,2015-16,2216,Zach Randolph,2216,MEM,2015-16
Zach Randolph,16500000,2014-15,2216,Zach Randolph,2216,MEM,2014-15
Zach Randolph,17800000,2013-14,2216,Zach Randolph,2216,MEM,2013-14
Zach Randolph,16500000,2012-13,2216,Zach Randolph,2216,MEM,2012-13
Zach Randolph,15200000,2011-12,2216,Zach Randolph,2216,MEM,2011-12
Zach Randolph,17666666,2010-11,2216,Zach Randolph,2216,MEM,2010-11
Zach Randolph,16000000,2009-10,2216,Zach Randolph,2216,MEM,2009-10
Zach Randolph,14666667,2008-09,2216,Zach Randolph,2216,LAC,2008-09
Zach Randolph,14666667,2008-09,2216,Zach Randolph,2216,LAC,2008-09
Zach Randolph,14666667,2008-09,2216,Zach Randolph,2216,LAC,2008-09
Zach Randolph,13333333,2007-08,2216,Zach Randolph,2216,NYK,2007-08
Zach Randolph,12000000,2006-07,2216,Zach Randolph,2216,POR,2006-07
Zach Randolph,10666667,2005-06,2216,Zach Randolph,2216,POR,2005-06
Zach Randolph,1504272,2004-05,2216,Zach Randolph,2216,POR,2004-05
Zach Randolph,1172160,2003-04,2216,Zach Randolph,2216,POR,2003-04
Zach Randolph,1095720,2002-03,2216,Zach Randolph,2216,POR,2002-03
Zach Randolph,1019280,2001-02,2216,Zach Randolph,2216,POR,2001-02
Zach LaVine,19500000,2019-20,203897,Zach LaVine,203897,CHI,2019-20
Zach LaVine,19500000,2018-19,203897,Zach LaVine,203897,CHI,2018-19
Zach LaVine,3202217,2017-18,203897,Zach LaVine,203897,CHI,2017-18
Zach LaVine,2240880,2016-17,203897,Zach LaVine,203897,MIN,2016-17
Zach LaVine,2148360,2015-16,203897,Zach LaVine,203897,MIN,2015-16
Zach LaVine,2055840,2014-15,203897,Zach LaVine,203897,MIN,2014-15
Zach Collins,4240200,2019-20,1628380,Zach Collins,1628380,POR,2019-20
Zach Collins,3628920,2018-19,1628380,Zach Collins,1628380,POR,2018-19
Zach Collins,3057240,2017-18,1628380,Zach Collins,1628380,POR,2017-18
Yuta Tabuse,108066,2004-05,2657,Yuta Tabuse,2657,PHX,2004-05
Yogi Ferrell,3150000,2019-20,1627812,Yogi Ferrell,1627812,SAC,2019-20
Yogi Ferrell,3000000,2018-19,1627812,Yogi Ferrell,1627812,SAC,2018-19
Yogi Ferrell,1312611,2017-18,1627812,Yogi Ferrell,1627812,DAL,2017-18
Yogi Ferrell,239767,2016-17,1627812,Yogi Ferrell,1627812,DAL,2016-17
Yogi Ferrell,239767,2016-17,1627812,Yogi Ferrell,1627812,DAL,2016-17
Yogi Ferrell,239767,2016-17,1627812,Yogi Ferrell,1627812,DAL,2016-17
Yogi Ferrell,202300,2016-17,1627812,Yogi Ferrell,1627812,DAL,2016-17
Yogi Ferrell,202300,2016-17,1627812,Yogi Ferrell,1627812,DAL,2016-17
Yogi Ferrell,202300,2016-17,1627812,Yogi Ferrell,1627812,DAL,2016-17
Yinka Dare,1552500,1997-98,6224,Yinka Dare,6224,NJN,1997-98
Yinka Dare,1448000,1996-97,6224,Yinka Dare,6224,NJN,1996-97
Yi Jianlian,827197,2011-12,201146,Yi Jianlian,201146,DAL,2011-12
Yi Jianlian,4050499,2010-11,201146,Yi Jianlian,201146,WAS,2010-11
Yi Jianlian,3194400,2009-10,201146,Yi Jianlian,201146,NJN,2009-10
Yi Jianlian,2986080,2008-09,201146,Yi Jianlian,201146,NJN,2008-09
Yi Jianlian,2777760,2007-08,201146,Yi Jianlian,201146,MIL,2007-08
Yaroslav Korolev,1832280,2006-07,101117,Yaroslav Korolev,101117,LAC,2006-07
Yaroslav Korolev,1704480,2005-06,101117,Yaroslav Korolev,101117,LAC,2005-06
Yao Ming,17686100,2010-11,2397,Yao Ming,2397,HOU,2010-11
Yao Ming,15070550,2008-09,2397,Yao Ming,2397,HOU,2008-09
Yao Ming,12455000,2006-07,2397,Yao Ming,2397,HOU,2006-07
Yao Ming,5594906,2005-06,2397,Yao Ming,2397,HOU,2005-06
Yao Ming,4436880,2004-05,2397,Yao Ming,2397,HOU,2004-05
Yao Ming,4147560,2003-04,2397,Yao Ming,2397,HOU,2003-04
Yante Maten,14211,2018-19,1628999,Yante Maten,1628999,MIA,2018-19
Yakhouba Diawara,945000,2009-10,200821,Yakhouba Diawara,200821,MIA,2009-10
Yakhouba Diawara,687456,2007-08,200821,Yakhouba Diawara,200821,DEN,2007-08
Xavier Munford,89588,2015-16,204098,Xavier Munford,204098,MEM,2015-16
Xavier McDaniel,254000,1996-97,6220,Xavier McDaniel,6220,NJN,1996-97
Xavier Henry,1082000,2014-15,202333,Xavier Henry,202333,LAL,2014-15
Xavier Henry,2323200,2012-13,202333,Xavier Henry,202333,NOH,2012-13
Xavier Henry,2171640,2011-12,202333,Xavier Henry,202333,NOH,2011-12
Xavier Henry,2020200,2010-11,202333,Xavier Henry,202333,MEM,2010-11
Wilson Chandler,2564753,2019-20,201163,Wilson Chandler,201163,BKN,2019-20
Wilson Chandler,12800562,2018-19,201163,Wilson Chandler,201163,LAC,2018-19
Wilson Chandler,12800562,2018-19,201163,Wilson Chandler,201163,LAC,2018-19
Wilson Chandler,12800562,2018-19,201163,Wilson Chandler,201163,LAC,2018-19
Wilson Chandler,12016854,2017-18,201163,Wilson Chandler,201163,DEN,2017-18
Wilson Chandler,11200000,2016-17,201163,Wilson Chandler,201163,DEN,2016-17
Wilson Chandler,6757913,2014-15,201163,Wilson Chandler,201163,DEN,2014-15
Wilson Chandler,6344164,2013-14,201163,Wilson Chandler,201163,DEN,2013-14
Wilson Chandler,5930414,2012-13,201163,Wilson Chandler,201163,DEN,2012-13
Wilson Chandler,2130482,2010-11,201163,Wilson Chandler,201163,DEN,2010-11
Wilson Chandler,2130482,2010-11,201163,Wilson Chandler,201163,DEN,2010-11
Wilson Chandler,2130482,2010-11,201163,Wilson Chandler,201163,DEN,2010-11
Wilson Chandler,1255440,2009-10,201163,Wilson Chandler,201163,NYK,2009-10
Wilson Chandler,1173480,2008-09,201163,Wilson Chandler,201163,NYK,2008-09
